global_k,local_k,N,ER_pct,BRRall_pct,REM_pct,MS,source_table
1,3,2649,85.13,62.78,83.58,0.884,Table 8
2,3,2649,91.05,70.22,90.11,0.946,Table 8
3,3,2649,93.88,72.59,93.43,0.969,Table 8
4,3,2649,93.92,72.44,93.58,0.968,Table 8
5,3,2649,93.77,72.1,93.28,0.966,Table 8
6,3,2649,93.58,71.84,93.05,0.964,Table 8
