scenario_id,configuration,violation_type,source,difficulty,expansion_mode,exec,trig,rem,c_road,c_env,c_role,c_lane,c_action,c_auto,c_noctrl,c_context,ms
NHTSA_INA_0206,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0571,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0021,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0188,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0294,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0305,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0246,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
SYNTH_INA_0215,Full RKGRScen,Inattention to the road ahead,synthetic-topology-extension,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0140,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0544,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
SYNTH_INA_0077,Full RKGRScen,Inattention to the road ahead,synthetic-topology-extension,fine,normal,1,1,0,0,0,0,0,0,1,1,1,0.26
NHTSA_INA_0429,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
SYNTH_INA_0157,Full RKGRScen,Inattention to the road ahead,synthetic-topology-extension,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
SYNTH_INA_0066,Full RKGRScen,Inattention to the road ahead,synthetic-topology-extension,fine,normal,1,0,1,1,1,1,1,1,1,1,1,1
NHTSA_INA_0042,Full RKGRScen,Inattention to the road ahead,NHTSA-derived,fine,normal,1,0,1,1,1,1,1,1,1,1,1,1
SYNTH_INA_0146,Full RKGRScen,Inattention to the road ahead,synthetic-topology-extension,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
SYNTH_INA_0149,Full RKGRScen,Inattention to the road ahead,synthetic-topology-extension,fine,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0312,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,0,0,0,0,0,0,1,0,0,0.12
NHTSA_FTY_0478,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,0,0,0,0,0,0,1,1,1,0.26
NHTSA_FTY_0426,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,0,0,1,,,,,,,,,
NHTSA_FTY_0485,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,fallback,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0242,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
NHTSA_FTY_0181,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,1,1,1,1,1,1,1,1,1,1
SYNTH_FTY_0051,Full RKGRScen,Failure to yield,synthetic-topology-extension,fine,normal,0,0,1,,,,,,,,,
NHTSA_FTY_0121,Full RKGRScen,Failure to yield,NHTSA-derived,coarse,normal,1,1,0,0,0,0,0,0,1,1,1,0.26
