backbone_llm,N,exec_count,trig_count,rem_count,ER_pct,BRRall_pct,BRRexec_pct,MS,REM_pct,source_table
DeepSeek-V3,420,372,289,376,88.57,68.81,77.69,0.9113,89.52,Table 9
Qwen2.5-72B-Instruct,420,374,283,369,89.05,67.38,75.67,0.8992,87.86,Table 9
